"http://snomed.info/sct","1153592008","Weight for age percentile (observable entity)"
"http://snomed.info/sct","1153605006","Body height for age percentile (observable entity)"
"http://snomed.info/sct","1153637007","Body height (observable entity)"
"http://snomed.info/sct","118433006","Pulmonary artery wedge pressure (observable entity)"
"http://snomed.info/sct","170804003","Ideal body weight (observable entity)"
"http://snomed.info/sct","248835004","Temperature of breast (observable entity)"
"http://snomed.info/sct","250124002","Temperature of joint (observable entity)"
"http://snomed.info/sct","250844005","Intracranial pressure (observable entity)"
"http://snomed.info/sct","27113001","Body weight (observable entity)"
"http://snomed.info/sct","271649006","Systolic blood pressure (observable entity)"
"http://snomed.info/sct","271650006","Diastolic blood pressure (observable entity)"
"http://snomed.info/sct","276885007","Core body temperature (observable entity)"
"http://snomed.info/sct","276900001","Systemic vascular resistance index (observable entity)"
"http://snomed.info/sct","276902009","Pulmonary vascular resistance index (observable entity)"
"http://snomed.info/sct","277381004","Stroke index (observable entity)"
"http://snomed.info/sct","307047009","Core body temperature measured in rectum (observable entity)"
"http://snomed.info/sct","364075005","Heart rate (observable entity)"
"http://snomed.info/sct","364246006","Core body temperature measured vaginally (observable entity)"
"http://snomed.info/sct","364419004","Temperature of cervical spine (observable entity)"
"http://snomed.info/sct","364424001","Temperature of thoracic spine (observable entity)"
"http://snomed.info/sct","364429006","Temperature of lumbar spine (observable entity)"
"http://snomed.info/sct","415882003","Estimated core body temperature measured in axillary region (observable entity)"
"http://snomed.info/sct","415922000","Temperature of forehead (observable entity)"
"http://snomed.info/sct","415929009","Estimated core body temperature measured in inguinal region (observable entity)"
"http://snomed.info/sct","415945006","Estimated core body temperature measured in sublingual space (observable entity)"
"http://snomed.info/sct","415974002","Core body temperature measured at tympanic membrane (observable entity)"
"http://snomed.info/sct","431598003","Core body temperature measured in esophagus (observable entity)"
"http://snomed.info/sct","54993008","Cardiac index (observable entity)"
"http://snomed.info/sct","6797001","Mean blood pressure (observable entity)"
"http://snomed.info/sct","698831002","Core body temperature measured in nasopharynx (observable entity)"
"http://snomed.info/sct","698832009","Core body temperature measured at urinary bladder (observable entity)"
"http://snomed.info/sct","71420008","Central venous pressure (observable entity)"
"http://snomed.info/sct","75367002","Blood pressure (observable entity)"
"http://snomed.info/sct","82799009","Cardiac output (observable entity)"
"http://snomed.info/sct","8499008","Pulse, function (observable entity)"
"http://snomed.info/sct","860958002","Temperature of blood (observable entity)"
"http://snomed.info/sct","90096001","Stroke volume (observable entity)"
