"http://fhir.de/CodeSystem/bfarm/ops","3-20","Computertomographie [CT], nativ"
"http://fhir.de/CodeSystem/bfarm/ops","3-200","Native Computertomographie des Schädels"
"http://fhir.de/CodeSystem/bfarm/ops","3-201","Native Computertomographie des Halses"
"http://fhir.de/CodeSystem/bfarm/ops","3-202","Native Computertomographie des Thorax"
"http://fhir.de/CodeSystem/bfarm/ops","3-203","Native Computertomographie von Wirbelsäule und Rückenmark"
"http://fhir.de/CodeSystem/bfarm/ops","3-204","Native Computertomographie des Herzens"
"http://fhir.de/CodeSystem/bfarm/ops","3-205","Native Computertomographie des Muskel-Skelett-Systems"
"http://fhir.de/CodeSystem/bfarm/ops","3-206","Native Computertomographie des Beckens"
"http://fhir.de/CodeSystem/bfarm/ops","3-207","Native Computertomographie des Abdomens"
"http://fhir.de/CodeSystem/bfarm/ops","3-208","Native Computertomographie der peripheren Gefäße"
"http://fhir.de/CodeSystem/bfarm/ops","3-20x","Andere native Computertomographie"
