"http://terminology.hl7.org/CodeSystem/v2-0203","ACSN"
"http://terminology.hl7.org/CodeSystem/v2-0203","BRN"
"http://terminology.hl7.org/CodeSystem/v2-0203","DL"
"http://terminology.hl7.org/CodeSystem/v2-0203","DR"
"http://terminology.hl7.org/CodeSystem/v2-0203","EN"
"http://terminology.hl7.org/CodeSystem/v2-0203","FILL"
"http://terminology.hl7.org/CodeSystem/v2-0203","JHN"
"http://terminology.hl7.org/CodeSystem/v2-0203","MCN"
"http://terminology.hl7.org/CodeSystem/v2-0203","MD"
"http://terminology.hl7.org/CodeSystem/v2-0203","MR"
"http://terminology.hl7.org/CodeSystem/v2-0203","NIIP"
"http://terminology.hl7.org/CodeSystem/v2-0203","PLAC"
"http://terminology.hl7.org/CodeSystem/v2-0203","PPN"
"http://terminology.hl7.org/CodeSystem/v2-0203","PRN"
"http://terminology.hl7.org/CodeSystem/v2-0203","SB"
"http://terminology.hl7.org/CodeSystem/v2-0203","SNO"
"http://terminology.hl7.org/CodeSystem/v2-0203","TAX"
"http://terminology.hl7.org/CodeSystem/v2-0203","UDI"
"http://terminology.hl7.org/CodeSystem/v2-0203","VN"
