id      effectiveTime   active  moduleId        conceptId       languageCode    typeId  term    caseSignificanceId
744015	20020131	1	900000000000207008	127456000	en	900000000000013009	Specimen from breast	900000000000020002
744015	20170731	1	900000000000207008	127456000	en	900000000000013009	Specimen from breast	900000000000448009
745019	20020131	1	900000000000207008	127457009	en	900000000000013009	Tissue specimen from breast	900000000000020002
745019	20170731	1	900000000000207008	127457009	en	900000000000013009	Tissue specimen from breast	900000000000448009
746018	20020131	1	900000000000207008	127458004	en	900000000000013009	Specimen from lung	900000000000020002
746018	20170731	1	900000000000207008	127458004	en	900000000000013009	Specimen from lung	900000000000448009
747010	20020131	1	900000000000207008	127459007	en	900000000000013009	Specimen from pleura	900000000000020002
747010	20170731	1	900000000000207008	127459007	en	900000000000013009	Specimen from pleura	900000000000448009
748017	20020131	1	900000000000207008	127460002	en	900000000000013009	Tissue specimen from pleura	900000000000020002
748017	20170731	1	900000000000207008	127460002	en	900000000000013009	Tissue specimen from pleura	900000000000448009
749013	20020131	1	900000000000207008	127461003	en	900000000000013009	Specimen from pleura obtained by pleurectomy	900000000000020002
749013	20170731	1	900000000000207008	127461003	en	900000000000013009	Specimen from pleura obtained by pleurectomy	900000000000448009
750013	20020131	1	900000000000207008	127462005	en	900000000000013009	Specimen from heart	900000000000020002
750013	20170731	1	900000000000207008	127462005	en	900000000000013009	Specimen from heart	900000000000448009
751012	20020131	1	900000000000207008	127463000	en	900000000000013009	Specimen from esophagus	900000000000020002
751012	20170731	1	900000000000207008	127463000	en	900000000000013009	Specimen from esophagus	900000000000448009
752017	20020131	1	900000000000207008	127464006	en	900000000000013009	Tissue specimen from esophagus	900000000000020002
752017	20170731	1	900000000000207008	127464006	en	900000000000013009	Tissue specimen from esophagus	900000000000448009
753010	20020131	1	900000000000207008	127465007	en	900000000000013009	Specimen from gastrointestinal tract	900000000000020002
753010	20170731	1	900000000000207008	127465007	en	900000000000013009	Specimen from gastrointestinal tract	900000000000448009
754016	20020131	1	900000000000207008	127466008	en	900000000000013009	Tissue specimen from gastrointestinal tract	900000000000020002
754016	20170731	1	900000000000207008	127466008	en	900000000000013009	Tissue specimen from gastrointestinal tract	900000000000448009
755015	20020131	1	900000000000207008	127467004	en	900000000000013009	Specimen from ampulla of Vater	900000000000020002
756019	20020131	1	900000000000207008	127468009	en	900000000000013009	Tissue specimen from ampulla of Vater	900000000000020002
